Player,Tm,Att,Yds,TD,Succ%,Y/A,Y/G,Fmb,-9999
Jayden Reed,GNB,1,-2,0,0.0,-2.0,-0.4,1,ReedJa03
Jalen Reeves-Maybin,DET,1,3,0,100.0,3.0,0.6,0,ReevJa00
Rashee Rice,KAN,1,-3,0,0.0,-3.0,-0.6,0,RiceRa01
Ben Skowronek,LAR,1,11,0,100.0,11.0,2.2,0,SkowBe00
Amon-Ra St. Brown,DET,1,4,0,0.0,4.0,1.0,1,StxxAm00
Adam Thielen,CAR,1,6,0,100.0,6.0,1.2,0,ThieAd00
Logan Thomas,WAS,1,2,0,100.0,2.0,0.5,1,ThomLo00
Zeke Turner,ARI,1,2,0,100.0,2.0,0.4,0,TurnZe00
Jaylen Waddle,MIA,1,-2,0,0.0,-2.0,-0.5,0,WaddJa00
Christian Watson,GNB,1,-5,0,0.0,-5.0,-2.5,0,WatsCh00
Mike White,MIA,1,-1,0,0.0,-1.0,-1.0,0,WhitMi01
Mike Williams,LAC,1,3,0,0.0,3.0,1.0,0,WillMi07
